compound,aurl,log(kappa),spacegroup_relax,agl_debye,agl_gruneisen,agl_heat_capacity_Cp_300K,agl_heat_capacity_Cv_300K,agl_thermal_expansion_300K,agl_vibrational_entropy_300K_atom,agl_vibrational_free_energy_300K_atom,agl_bulk_modulus_static_300K,agl_bulk_modulus_isothermal_300K
Mn2Sc4Se8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Mn1Sc2Se4_ICSD_74407,0.165597436,227,248.911,1.90302,41.8433,40.6345,5.15E-05,0.401586,-40.3595,58.5357,56.8447
Ge1Ni2Zn1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ge1Ni2Zn1_ICSD_53865,0.455157135,225,312.156,2.45813,11.9407,11.404,6.21E-05,0.347436,-22.7293,138.379,132.159
La6Ru8Sn26,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/La3Ru4Sn13_ICSD_423134,-0.161383225,223,230.033,2.27079,120.456,116.68,4.69E-05,0.422257,-46.9472,81.1642,78.6194
Ga1Pd2Sc1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ga1Pd2Sc1_ICSD_103909,0.386939279,225,248.895,2.28361,12.0123,11.6111,4.98E-05,0.402005,-40.4934,113.824,110.022
Ag2I2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ag1I1_ICSD_28230,-0.250253639,129,133.151,2.49393,13.2897,11.9,0.000149012,0.576844,-94.8495,22.3194,19.9855
As4Co2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/As2Co1_ICSD_610034,0.93054102,58,444.905,2.31979,16.7608,16.2095,4.85E-05,0.259514,7.80801,118.379,114.486
Cu4Ni1Yb1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cu4Ni1Yb1_ICSD_628598,0.260047525,216,250.133,2.26263,18.4007,17.4251,8.07E-05,0.403863,-41.0883,81.2467,76.9393
Pt10Se8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCL/Pt5Se4_ICSD_87926,0.126157393,14,245.998,2.4657,53.8611,52.2938,4.00E-05,0.405243,-41.5298,133.615,129.727
Cr4La4S12,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Cr1La1S3_ICSD_51123,0.465943206,62,383.129,2.03712,57.1027,55.4987,4.68E-05,0.295061,-4.92542,83.1852,80.8486
La8N4S6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/La4N2S3_ICSD_415780,0.498328477,58,335.046,1.96606,52.05,50.8565,3.94E-05,0.327225,-15.9673,81.8074,79.9316
Cs3In9,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Cs1In3_ICSD_102867,-0.432832423,119,148.99,2.57809,41.4413,35.6387,0.000194347,0.552799,-87.5026,17.444,15.0015
Re4S4Te4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Re4S4Te4_ICSD_39781,0.75384417,216,347.976,2.14379,34.4004,33.7297,3.07E-05,0.317057,-12.5174,124.313,121.89
Cu4Sb4Se8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Cu1Sb1Se2_ICSD_30358,0.144969407,62,255.048,2.16354,48.4292,46.396,6.64E-05,0.398069,-39.2316,54.906,52.6009
Ag1Zr2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ag1Zr2_ICSD_163153,0.7879172,139,258.016,1.9271,8.88198,8.68414,3.89E-05,0.391793,-37.2142,92.8851,90.8162
Nb2P2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Nb1P1_ICSD_76027,1.22744962,141,469.053,1.96896,10.8413,10.6662,2.77E-05,0.245604,12.9887,162.584,159.958
