compound,aurl,log(kappa),spacegroup_relax,agl_debye,agl_gruneisen,agl_heat_capacity_Cp_300K,agl_heat_capacity_Cv_300K,agl_thermal_expansion_300K,agl_vibrational_entropy_300K_atom,agl_vibrational_free_energy_300K_atom,agl_bulk_modulus_static_300K,agl_bulk_modulus_isothermal_300K
Mn2Sc4Se8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Mn1Sc2Se4_ICSD_74407,0.165597436,0.9868421052631579,0.10562572292760673,0.4922251594780488,0.1461514280425147,0.1438831098916935,0.09595082936829005,0.3776387416484903,0.43505377605076984,0.1329879270625548,0.12998154707325607
Ge1Ni2Zn1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ge1Ni2Zn1_ICSD_53865,0.455157135,0.9780701754385964,0.13545912710417013,0.635965702026961,0.04170680507577689,0.03745854774135844,0.11455479482107722,0.32452921568263987,0.47481399958954745,0.3143848345366891,0.30219582968428804
La6Ru8Sn26,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/La3Ru4Sn13_ICSD_423134,-0.161383225,0.969298245614035,0.09672075013852992,0.5874557612204303,0.42073202678300115,0.4207551798529772,0.08787741039821259,0.3979125553371347,0.4201969721230546,0.18439787530841198,0.1797717507871648
Ga1Pd2Sc1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ga1Pd2Sc1_ICSD_103909,0.386939279,0.9780701754385964,0.10561817554098606,0.5907753803148027,0.041956891523256996,0.038212572709160376,0.09296717453152228,0.3780496907044403,0.43475180024040794,0.25859804888244675,0.25157718788372146
Ag2I2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ag1I1_ICSD_28230,-0.250253639,0.5570175438596491,0.051020380726974665,0.645235777189093,0.046418629344640784,0.03926442115531189,0.2670932708052884,0.5495292181346032,0.31216608444046523,0.05070770041666856,0.045699004639527675
As4Co2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/As2Co1_ICSD_610034,0.93054102,0.2456140350877193,0.19807837876097478,0.6001438529227897,0.05854258280620746,0.05495476687594167,0.09068555612693519,0.23829660733601937,0.5436827742984531,0.2689466055371026,0.261784606097469
Cu4Ni1Yb1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cu4Ni1Yb1_ICSD_628598,0.260047525,0.9385964912280701,0.10620215458076131,0.5853428055410171,0.06427047058864623,0.059380613089655,0.14719948891747733,0.3798719898594643,0.4334101616326089,0.1845853080030353,0.17593002064807045
Pt10Se8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCL/Pt5Se4_ICSD_87926,0.126157393,0.05263157894736842,0.10425162685097887,0.637925882724652,0.18812753011690495,0.18633315000320033,0.07576728194309643,0.38122547362369097,0.4324144758949332,0.30356144838898763,0.2966347989728557
Cr4La4S12,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Cr1La1S3_ICSD_51123,0.465943206,0.26315789473684204,0.16893791901852273,0.5269491002389954,0.19944987967209338,0.19800178650396527,0.08770190129016744,0.27316058368889257,0.5149659121406003,0.1889894083488202,0.18486905739157478
La8N4S6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/La4N2S3_ICSD_415780,0.498328477,0.2456140350877193,0.14625660708838284,0.5085487778641046,0.18180167027010036,0.18110012206393564,0.07471422729482546,0.3047065632487377,0.49006389077451495,0.18585916875303868,0.1827722378346737
Cs3In9,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Cs1In3_ICSD_102867,-0.432832423,0.513157894736842,0.05849182176978575,0.6670282220395126,0.1447473113960482,0.12569403246945837,0.34666032493756255,0.5259462347209584,0.3287350618948926,0.03963122333343935,0.034302550253927824
Re4S4Te4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Re4S4Te4_ICSD_39781,0.75384417,0.9385964912280701,0.15235583890122129,0.5545702990530909,0.12015466240076003,0.11874360435002866,0.05944493489489636,0.2947339379482618,0.4978442219781558,0.2824281280812799,0.2787146518982277
Cu4Sb4Se8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Cu1Sb1Se2_ICSD_30358,0.144969407,0.26315789473684204,0.10852061740830196,0.5596843768310825,0.16915484053496146,0.16486000439671925,0.12210168646701919,0.3741893196203851,0.4375974542920483,0.12474157007256485,0.12027763994612753
Ag1Zr2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ag1Zr2_ICSD_163153,0.7879172,0.6008771929824561,0.10992065762643842,0.49846045025749397,0.03102322380990636,0.027555880677496716,0.07383668175459965,0.368033910849163,0.44214716302859863,0.21102672222247465,0.20766105151956538
Nb2P2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Nb1P1_ICSD_76027,1.22744962,0.6096491228070174,0.20946927201823862,0.5092997057403666,0.037866790545614586,0.034772311038102695,0.0541796616535415,0.22465388330674918,0.5553664416695046,0.3693764511834387,0.3657612461099081
Ca1S1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ca1S1_ICSD_186785,1.169003963,0.9780701754385964,0.19392448584961708,0.5005604589045579,0.019593714307669204,0.01568590385457127,0.10823646693145139,0.2426581597269729,0.5400059538173215,0.12281612511870738,0.11951711411774661
Ca4Ge4Ni6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ca2Ge2Ni3_ICSD_421074,0.543607448,0.21491228070175436,0.15708805031238865,0.4854383251205215,0.1411622732718363,0.1387902555944393,0.09858346598896747,0.289421023781004,0.5020218171321094,0.17130507681332613,0.16738267985887056
Cu1Hf1Hg2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cu1Hf1Hg2_ICSD_102969,-0.195175237,0.9385964912280701,0.05142510933450871,0.648185111158274,0.04339244361703242,0.03922255110639967,0.10823646693145139,0.535745261016892,0.32184396939196647,0.22020456290695614,0.2120895252773084
Ga4Ho2Pd2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Ga2Ho1Pd1_ICSD_600151,0.444477313,0.26754385964912275,0.11891761418995479,0.5875593374792251,0.08357882089129971,0.07984960569700633,0.10244466636596106,0.3525571182408321,0.45365900413384364,0.2075963631241509,0.2012413994955743
Ca2Ga4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ca1Ga2_ICSD_260645,0.595031918,0.8421052631578947,0.14915716210904362,0.583522452792699,0.0632565027715586,0.05765957203567154,0.17826460104147102,0.3047330444528204,0.4900431426232429,0.09922891325387702,0.09348476776065617
Cd2Er4Ge4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Cd1Er2Ge2_ICSD_424177,0.527037981,0.5482456140350876,0.11555619687376868,0.5319725487905418,0.10409534021886058,0.10102347147561049,0.09700388401656102,0.3583486556522512,0.4493379761080528,0.16638388942152593,0.16217881732059847
S6Zn6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/S1Zn1_ICSD_42798,0.435594352,0.8070175438596491,0.1528327393933156,0.5153356122216319,0.12233558387850549,0.11884336429265432,0.11455479482107722,0.29624925129299384,0.4966572924113637,0.14912713162091795,0.14465951263236604
