compound,aurl,log(kappa),agl_heat_capacity_Cv_300K,agl_thermal_expansion_300K,agl_vibrational_free_energy_300K_atom,agl_bulk_modulus_static_300K
Mn2Sc4Se8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Mn1Sc2Se4_ICSD_74407,0.165597436,0.14388311,0.095950829,0.435053776,0.132987927
Ge1Ni2Zn1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ge1Ni2Zn1_ICSD_53865,0.455157135,0.037458548,0.114554795,0.474814,0.314384835
La6Ru8Sn26,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/La3Ru4Sn13_ICSD_423134,-0.161383225,0.42075518,0.08787741,0.420196972,0.184397875
Ga1Pd2Sc1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ga1Pd2Sc1_ICSD_103909,0.386939279,0.038212573,0.092967175,0.4347518,0.258598049
Ag2I2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Ag1I1_ICSD_28230,-0.250253639,0.039264421,0.267093271,0.312166084,0.0507077
As4Co2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/As2Co1_ICSD_610034,0.93054102,0.054954767,0.090685556,0.543682774,0.268946606
Cu4Ni1Yb1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cu4Ni1Yb1_ICSD_628598,0.260047525,0.059380613,0.147199489,0.433410162,0.184585308
Pt10Se8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCL/Pt5Se4_ICSD_87926,0.126157393,0.18633315,0.075767282,0.432414476,0.303561448
Cr4La4S12,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Cr1La1S3_ICSD_51123,0.465943206,0.198001787,0.087701901,0.514965912,0.188989408
La8N4S6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/La4N2S3_ICSD_415780,0.498328477,0.181100122,0.074714227,0.490063891,0.185859169
Cs3In9,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Cs1In3_ICSD_102867,-0.432832423,0.125694032,0.346660325,0.328735062,0.039631223
Re4S4Te4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Re4S4Te4_ICSD_39781,0.75384417,0.118743604,0.059444935,0.497844222,0.282428128
Cu4Sb4Se8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Cu1Sb1Se2_ICSD_30358,0.144969407,0.164860004,0.122101686,0.437597454,0.12474157
Ag1Zr2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Ag1Zr2_ICSD_163153,0.7879172,0.027555881,0.073836682,0.442147163,0.211026722
Nb2P2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCT/Nb1P1_ICSD_76027,1.22744962,0.034772311,0.054179662,0.555366442,0.369376451
Ca1S1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ca1S1_ICSD_186785,1.169003963,0.015685904,0.108236467,0.540005954,0.122816125
Ca4Ge4Ni6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ca2Ge2Ni3_ICSD_421074,0.543607448,0.138790256,0.098583466,0.502021817,0.171305077
Cu1Hf1Hg2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cu1Hf1Hg2_ICSD_102969,-0.195175237,0.039222551,0.108236467,0.321843969,0.220204563
Ga4Ho2Pd2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORCC/Ga2Ho1Pd1_ICSD_600151,0.444477313,0.079849606,0.102444666,0.453659004,0.207596363
Ca2Ga4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ca1Ga2_ICSD_260645,0.595031918,0.057659572,0.178264601,0.490043143,0.099228913
Cd2Er4Ge4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Cd1Er2Ge2_ICSD_424177,0.527037981,0.101023471,0.097003884,0.449337976,0.166383889
S6Zn6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/S1Zn1_ICSD_42798,0.435594352,0.118843364,0.114554795,0.496657292,0.149127132
Ge8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Ge1_ICSD_167204,0.560891344,0.078484642,0.127717978,0.485151991,0.125964994
Ho12Ru4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Ho3Ru1_ICSD_639642,0.301706967,0.166881782,0.075240755,0.398631073,0.156644432
Si2Th1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Si2Th1_ICSD_15449,0.603590351,0.027723871,0.077697882,0.427537984,0.220990644
